Domain Model env_id run task steps success_rate reward
BoxWorld RePReL+T BoxWorld_RePReL_task2-v1 run2 task0 10000 0.19 -19.31799999999999
BoxWorld RePReL+T BoxWorld_RePReL_task2-v1 run2 task0 20000 0.61 -16.72299999999996
BoxWorld RePReL+T BoxWorld_RePReL_task2-v1 run2 task0 30000 0.73 -7.30499999999999
BoxWorld RePReL+T BoxWorld_RePReL_task2-v1 run2 task0 40000 0.98 0.04200000000000412
BoxWorld RePReL+T BoxWorld_RePReL_task2-v1 run2 task0 50000 0.99 0.9689999999999998
BoxWorld RePReL+T BoxWorld_RePReL_task2-v1 run2 task0 60000 0.99 0.98
BoxWorld RePReL+T BoxWorld_RePReL_task2-v1 run2 task0 70000 0.99 1.0539999999999998
BoxWorld RePReL+T BoxWorld_RePReL_task2-v1 run2 task0 80000 1.0 1.2180000000000002
BoxWorld RePReL+T BoxWorld_RePReL_task2-v1 run2 task0 90000 1.0 1.206
BoxWorld RePReL+T BoxWorld_RePReL_task2-v1 run2 task0 100000 1.0 1.175
BoxWorld RePReL+T BoxWorld_RePReL_task2-v1 run2 task0 110000 1.0 1.1440000000000001
BoxWorld RePReL+T BoxWorld_RePReL_task2-v1 run2 task0 120000 1.0 1.1580000000000001
BoxWorld RePReL+T BoxWorld_RePReL_task2-v1 run2 task0 130000 1.0 1.1880000000000002
BoxWorld RePReL+T BoxWorld_RePReL_task2-v1 run2 task0 140000 1.0 1.189
BoxWorld RePReL+T BoxWorld_RePReL_task2-v1 run2 task0 150000 1.0 1.1620000000000001
BoxWorld RePReL+T BoxWorld_RePReL_task2-v1 run2 task0 160000 1.0 1.1709999999999998
BoxWorld RePReL+T BoxWorld_RePReL_task2-v1 run2 task0 170000 1.0 1.1990000000000003
BoxWorld RePReL+T BoxWorld_RePReL_task2-v1 run2 task0 180000 1.0 1.1480000000000001
BoxWorld RePReL+T BoxWorld_RePReL_task2-v1 run2 task0 190000 1.0 1.1589999999999998
BoxWorld RePReL+T BoxWorld_RePReL_task2-v1 run2 task0 200000 1.0 1.2310000000000003
BoxWorld RePReL+T BoxWorld_RePReL_task2-v1 run2 task0 210000 1.0 1.1770000000000003
BoxWorld RePReL+T BoxWorld_RePReL_task2-v1 run2 task0 220000 1.0 1.1769999999999998
BoxWorld RePReL+T BoxWorld_RePReL_task2-v1 run2 task0 230000 1.0 1.2320000000000002
BoxWorld RePReL+T BoxWorld_RePReL_task2-v1 run2 task0 240000 1.0 1.153
BoxWorld RePReL+T BoxWorld_RePReL_task2-v1 run2 task0 250000 1.0 1.232
BoxWorld RePReL+T BoxWorld_RePReL_task2-v1 run2 task0 260000 0.99 0.972
BoxWorld RePReL+T BoxWorld_RePReL_task2-v1 run2 task0 270000 0.99 0.96
BoxWorld RePReL+T BoxWorld_RePReL_task2-v1 run2 task0 280000 1.0 1.1660000000000001
BoxWorld RePReL+T BoxWorld_RePReL_task2-v1 run2 task0 290000 1.0 1.2620000000000002
BoxWorld RePReL+T BoxWorld_RePReL_task2-v1 run2 task0 300000 0.99 0.883
BoxWorld RePReL+T BoxWorld_RePReL_task2-v1 run2 task0 310000 1.0 1.1320000000000001
BoxWorld RePReL+T BoxWorld_RePReL_task2-v1 run2 task0 320000 1.0 1.168
BoxWorld RePReL+T BoxWorld_RePReL_task2-v1 run2 task0 330000 1.0 1.2020000000000002
BoxWorld RePReL+T BoxWorld_RePReL_task2-v1 run2 task0 340000 1.0 1.203
