Domain Model env_id run task steps success_rate reward
BoxWorld trl BoxWorld_taskable_task5-v1 run2 task1 10000 0.1 -24.514000000000056
BoxWorld trl BoxWorld_taskable_task5-v1 run2 task1 20000 0.11 -25.387000000000047
BoxWorld trl BoxWorld_taskable_task5-v1 run2 task1 30000 0.09 -27.073000000000043
BoxWorld trl BoxWorld_taskable_task5-v1 run2 task1 40000 0.08 -27.62900000000004
BoxWorld trl BoxWorld_taskable_task5-v1 run2 task1 50000 0.08 -25.401000000000053
BoxWorld trl BoxWorld_taskable_task5-v1 run2 task1 60000 0.1 -25.823000000000064
BoxWorld trl BoxWorld_taskable_task5-v1 run2 task1 70000 0.05 -28.266000000000055
BoxWorld trl BoxWorld_taskable_task5-v1 run2 task1 80000 0.1 -27.734000000000034
BoxWorld trl BoxWorld_taskable_task5-v1 run2 task1 90000 0.05 -30.45600000000002
BoxWorld trl BoxWorld_taskable_task5-v1 run2 task1 100000 0.13 -24.223000000000052
BoxWorld trl BoxWorld_taskable_task5-v1 run2 task1 110000 0.15 -27.379000000000033
BoxWorld trl BoxWorld_taskable_task5-v1 run2 task1 120000 0.13 -26.74000000000003
BoxWorld trl BoxWorld_taskable_task5-v1 run2 task1 130000 0.13 -26.48100000000003
BoxWorld trl BoxWorld_taskable_task5-v1 run2 task1 140000 0.09 -27.28500000000004
BoxWorld trl BoxWorld_taskable_task5-v1 run2 task1 150000 0.16 -25.455000000000037
BoxWorld trl BoxWorld_taskable_task5-v1 run2 task1 160000 0.15 -25.496000000000027
BoxWorld trl BoxWorld_taskable_task5-v1 run2 task1 170000 0.13 -26.78900000000003
BoxWorld trl BoxWorld_taskable_task5-v1 run2 task1 180000 0.09 -27.37200000000001
BoxWorld trl BoxWorld_taskable_task5-v1 run2 task1 190000 0.09 -28.943000000000016
BoxWorld trl BoxWorld_taskable_task5-v1 run2 task1 200000 0.12 -26.788000000000014
BoxWorld trl BoxWorld_taskable_task5-v1 run2 task1 210000 0.18 -26.26900000000001
BoxWorld trl BoxWorld_taskable_task5-v1 run2 task1 220000 0.09 -27.832000000000015
BoxWorld trl BoxWorld_taskable_task5-v1 run2 task1 230000 0.1 -27.559999999999995
BoxWorld trl BoxWorld_taskable_task5-v1 run2 task1 240000 0.09 -28.94600000000001
BoxWorld trl BoxWorld_taskable_task5-v1 run2 task1 250000 0.1 -29.208000000000002
BoxWorld trl BoxWorld_taskable_task5-v1 run2 task1 260000 0.18 -24.979999999999997
BoxWorld trl BoxWorld_taskable_task5-v1 run2 task1 270000 0.12 -26.612000000000013
BoxWorld trl BoxWorld_taskable_task5-v1 run2 task1 280000 0.09 -29.17099999999999
BoxWorld trl BoxWorld_taskable_task5-v1 run2 task1 290000 0.14 -26.383000000000003
BoxWorld trl BoxWorld_taskable_task5-v1 run2 task1 300000 0.12 -28.78099999999999
BoxWorld trl BoxWorld_taskable_task5-v1 run2 task1 310000 0.11 -26.825
BoxWorld trl BoxWorld_taskable_task5-v1 run2 task1 320000 0.03 -27.352000000000004
BoxWorld trl BoxWorld_taskable_task5-v1 run2 task1 330000 0.1 -27.083999999999996
BoxWorld trl BoxWorld_taskable_task5-v1 run2 task1 340000 0.12 -27.066999999999986
BoxWorld trl BoxWorld_taskable_task5-v1 run2 task1 350000 0.13 -29.93299999999998
BoxWorld trl BoxWorld_taskable_task5-v1 run2 task1 360000 0.1 -26.377
BoxWorld trl BoxWorld_taskable_task5-v1 run2 task1 370000 0.15 -27.654999999999983
BoxWorld trl BoxWorld_taskable_task5-v1 run2 task1 380000 0.06 -26.765999999999995
BoxWorld trl BoxWorld_taskable_task5-v1 run2 task1 390000 0.13 -26.378999999999984
BoxWorld trl BoxWorld_taskable_task5-v1 run2 task1 400000 0.1 -26.268
BoxWorld trl BoxWorld_taskable_task5-v1 run2 task1 410000 0.13 -25.984999999999992
BoxWorld trl BoxWorld_taskable_task5-v1 run2 task1 420000 0.07 -27.20200000000001
BoxWorld trl BoxWorld_taskable_task5-v1 run2 task1 430000 0.04 -29.095999999999993
BoxWorld trl BoxWorld_taskable_task5-v1 run2 task1 440000 0.05 -25.68
BoxWorld trl BoxWorld_taskable_task5-v1 run2 task1 450000 0.06 -28.848999999999982
BoxWorld trl BoxWorld_taskable_task5-v1 run2 task1 460000 0.07 -29.042999999999978
BoxWorld trl BoxWorld_taskable_task5-v1 run2 task1 470000 0.05 -27.255999999999993
BoxWorld trl BoxWorld_taskable_task5-v1 run2 task1 480000 0.06 -27.620999999999977
BoxWorld trl BoxWorld_taskable_task5-v1 run2 task1 490000 0.09 -28.78699999999997
BoxWorld trl BoxWorld_taskable_task5-v1 run2 task1 500000 0.07 -30.11199999999997
BoxWorld trl BoxWorld_taskable_task5-v1 run2 task1 510000 0.09 -25.75599999999999
BoxWorld trl BoxWorld_taskable_task5-v1 run2 task1 520000 0.07 -26.31
BoxWorld trl BoxWorld_taskable_task5-v1 run2 task1 530000 0.1 -26.289999999999985
BoxWorld trl BoxWorld_taskable_task5-v1 run2 task1 540000 0.09 -29.33199999999998
BoxWorld trl BoxWorld_taskable_task5-v1 run2 task1 550000 0.12 -27.41699999999997
