Domain Model env_id run task steps success_rate reward
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run3 task1 10000 0.07 -23.923000000000002
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run3 task1 20000 0.02 -39.45799999999991
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run3 task1 30000 0.33 -26.733999999999938
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run3 task1 40000 0.25 -28.173999999999936
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run3 task1 50000 0.33 -21.064999999999973
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run3 task1 60000 0.6 -17.827999999999946
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run3 task1 70000 0.73 -7.9859999999999856
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run3 task1 80000 0.93 -1.6179999999999957
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run3 task1 90000 0.84 -3.456999999999998
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run3 task1 100000 0.85 -2.2220000000000013
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run3 task1 110000 0.82 -3.457
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run3 task1 120000 0.86 -2.6619999999999955
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run3 task1 130000 0.86 -3.185999999999994
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run3 task1 140000 0.81 -5.097999999999989
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run3 task1 150000 0.91 -0.5490000000000027
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run3 task1 160000 0.81 -4.483999999999992
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run3 task1 170000 0.79 -3.795999999999999
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run3 task1 180000 0.89 -1.9899999999999949
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run3 task1 190000 0.91 -0.47300000000000153
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run3 task1 200000 0.85 -1.957000000000003
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run3 task1 210000 0.89 -2.490999999999994
