Domain Model env_id run task steps success_rate reward
BoxWorld trl+T BoxWorld_taskable_task2-v1 run5 task0 10000 0.38 -20.41900000000004
BoxWorld trl+T BoxWorld_taskable_task2-v1 run5 task0 20000 0.34 -20.588000000000044
BoxWorld trl+T BoxWorld_taskable_task2-v1 run5 task0 30000 0.28 -22.83100000000003
BoxWorld trl+T BoxWorld_taskable_task2-v1 run5 task0 40000 0.41 -21.74000000000003
BoxWorld trl+T BoxWorld_taskable_task2-v1 run5 task0 50000 0.47 -17.79500000000003
BoxWorld trl+T BoxWorld_taskable_task2-v1 run5 task0 60000 0.3 -23.055000000000003
BoxWorld trl+T BoxWorld_taskable_task2-v1 run5 task0 70000 0.37 -22.278
BoxWorld trl+T BoxWorld_taskable_task2-v1 run5 task0 80000 0.47 -22.053999999999977
BoxWorld trl+T BoxWorld_taskable_task2-v1 run5 task0 90000 0.37 -26.298999999999978
BoxWorld trl+T BoxWorld_taskable_task2-v1 run5 task0 100000 0.39 -20.59099999999998
BoxWorld trl+T BoxWorld_taskable_task2-v1 run5 task0 110000 0.37 -22.940999999999978
BoxWorld trl+T BoxWorld_taskable_task2-v1 run5 task0 120000 0.26 -24.454999999999988
BoxWorld trl+T BoxWorld_taskable_task2-v1 run5 task0 130000 0.43 -18.465999999999994
BoxWorld trl+T BoxWorld_taskable_task2-v1 run5 task0 140000 0.33 -20.302999999999994
BoxWorld trl+T BoxWorld_taskable_task2-v1 run5 task0 150000 0.19 -24.193999999999996
BoxWorld trl+T BoxWorld_taskable_task2-v1 run5 task0 160000 0.25 -21.843999999999987
BoxWorld trl+T BoxWorld_taskable_task2-v1 run5 task0 170000 0.2 -25.124999999999982
BoxWorld trl+T BoxWorld_taskable_task2-v1 run5 task0 180000 0.27 -24.491999999999976
BoxWorld trl+T BoxWorld_taskable_task2-v1 run5 task0 190000 0.24 -21.25199999999999
BoxWorld trl+T BoxWorld_taskable_task2-v1 run5 task0 200000 0.29 -22.017999999999976
BoxWorld trl+T BoxWorld_taskable_task2-v1 run5 task0 210000 0.29 -21.528999999999975
BoxWorld trl+T BoxWorld_taskable_task2-v1 run5 task0 220000 0.29 -20.16899999999998
BoxWorld trl+T BoxWorld_taskable_task2-v1 run5 task0 230000 0.34 -25.01899999999994
BoxWorld trl+T BoxWorld_taskable_task2-v1 run5 task0 240000 0.2 -26.329999999999963
BoxWorld trl+T BoxWorld_taskable_task2-v1 run5 task0 250000 0.36 -20.296999999999965
BoxWorld trl+T BoxWorld_taskable_task2-v1 run5 task0 260000 0.32 -23.812999999999956
BoxWorld trl+T BoxWorld_taskable_task2-v1 run5 task0 270000 0.29 -20.83999999999997
BoxWorld trl+T BoxWorld_taskable_task2-v1 run5 task0 280000 0.38 -18.567999999999984
BoxWorld trl+T BoxWorld_taskable_task2-v1 run5 task0 290000 0.49 -16.59899999999998
BoxWorld trl+T BoxWorld_taskable_task2-v1 run5 task0 300000 0.43 -18.75999999999997
BoxWorld trl+T BoxWorld_taskable_task2-v1 run5 task0 310000 0.4 -21.80599999999996
BoxWorld trl+T BoxWorld_taskable_task2-v1 run5 task0 320000 0.39 -20.30399999999997
BoxWorld trl+T BoxWorld_taskable_task2-v1 run5 task0 330000 0.44 -16.35799999999998
BoxWorld trl+T BoxWorld_taskable_task2-v1 run5 task0 340000 0.38 -20.838999999999963
BoxWorld trl+T BoxWorld_taskable_task2-v1 run5 task0 350000 0.37 -19.34199999999997
BoxWorld trl+T BoxWorld_taskable_task2-v1 run5 task0 360000 0.35 -19.44199999999997
BoxWorld trl+T BoxWorld_taskable_task2-v1 run5 task0 370000 0.38 -19.37499999999997
BoxWorld trl+T BoxWorld_taskable_task2-v1 run5 task0 380000 0.35 -21.620999999999963
BoxWorld trl+T BoxWorld_taskable_task2-v1 run5 task0 390000 0.45 -16.243999999999982
BoxWorld trl+T BoxWorld_taskable_task2-v1 run5 task0 400000 0.43 -18.87799999999997
BoxWorld trl+T BoxWorld_taskable_task2-v1 run5 task0 410000 0.45 -13.911999999999994
BoxWorld trl+T BoxWorld_taskable_task2-v1 run5 task0 420000 0.5 -13.189999999999989
BoxWorld trl+T BoxWorld_taskable_task2-v1 run5 task0 430000 0.46 -17.394999999999968
BoxWorld trl+T BoxWorld_taskable_task2-v1 run5 task0 440000 0.49 -14.232999999999983
BoxWorld trl+T BoxWorld_taskable_task2-v1 run5 task0 450000 0.51 -13.04499999999999
BoxWorld trl+T BoxWorld_taskable_task2-v1 run5 task0 460000 0.53 -14.515999999999979
BoxWorld trl+T BoxWorld_taskable_task2-v1 run5 task0 470000 0.52 -14.230999999999984
BoxWorld trl+T BoxWorld_taskable_task2-v1 run5 task0 480000 0.5 -15.611999999999975
BoxWorld trl+T BoxWorld_taskable_task2-v1 run5 task0 490000 0.6 -9.833
BoxWorld trl+T BoxWorld_taskable_task2-v1 run5 task0 500000 0.53 -14.569999999999977
BoxWorld trl+T BoxWorld_taskable_task2-v1 run5 task0 510000 0.64 -15.050999999999961
BoxWorld trl+T BoxWorld_taskable_task2-v1 run5 task0 520000 0.51 -17.253999999999966
BoxWorld trl+T BoxWorld_taskable_task2-v1 run5 task0 530000 0.51 -13.405999999999985
BoxWorld trl+T BoxWorld_taskable_task2-v1 run5 task0 540000 0.61 -11.858999999999982
BoxWorld trl+T BoxWorld_taskable_task2-v1 run5 task0 550000 0.63 -8.507999999999997
BoxWorld trl+T BoxWorld_taskable_task2-v1 run5 task0 560000 0.62 -14.267999999999963
BoxWorld trl+T BoxWorld_taskable_task2-v1 run5 task0 570000 0.65 -12.911999999999967
BoxWorld trl+T BoxWorld_taskable_task2-v1 run5 task0 580000 0.55 -13.098999999999982
BoxWorld trl+T BoxWorld_taskable_task2-v1 run5 task0 590000 0.58 -14.972999999999965
BoxWorld trl+T BoxWorld_taskable_task2-v1 run5 task0 600000 0.67 -10.155999999999983
BoxWorld trl+T BoxWorld_taskable_task2-v1 run5 task0 610000 0.67 -8.349999999999993
BoxWorld trl+T BoxWorld_taskable_task2-v1 run5 task0 620000 0.64 -11.183999999999978
BoxWorld trl+T BoxWorld_taskable_task2-v1 run5 task0 630000 0.71 -10.143999999999977
BoxWorld trl+T BoxWorld_taskable_task2-v1 run5 task0 640000 0.68 -11.449999999999978
