Domain Model env_id run task steps success_rate reward
BoxWorld trl BoxWorld_taskable_task5-v1 run5 task1 10000 0.12 -24.138000000000066
BoxWorld trl BoxWorld_taskable_task5-v1 run5 task1 20000 0.11 -24.719000000000054
BoxWorld trl BoxWorld_taskable_task5-v1 run5 task1 30000 0.14 -24.22600000000006
BoxWorld trl BoxWorld_taskable_task5-v1 run5 task1 40000 0.05 -27.599000000000036
BoxWorld trl BoxWorld_taskable_task5-v1 run5 task1 50000 0.06 -28.896000000000036
BoxWorld trl BoxWorld_taskable_task5-v1 run5 task1 60000 0.13 -28.61700000000003
BoxWorld trl BoxWorld_taskable_task5-v1 run5 task1 70000 0.14 -29.783000000000005
BoxWorld trl BoxWorld_taskable_task5-v1 run5 task1 80000 0.11 -27.993000000000038
BoxWorld trl BoxWorld_taskable_task5-v1 run5 task1 90000 0.08 -30.26300000000003
BoxWorld trl BoxWorld_taskable_task5-v1 run5 task1 100000 0.15 -29.083000000000016
BoxWorld trl BoxWorld_taskable_task5-v1 run5 task1 110000 0.18 -25.65300000000004
BoxWorld trl BoxWorld_taskable_task5-v1 run5 task1 120000 0.12 -27.503000000000025
BoxWorld trl BoxWorld_taskable_task5-v1 run5 task1 130000 0.08 -28.74000000000002
BoxWorld trl BoxWorld_taskable_task5-v1 run5 task1 140000 0.12 -28.728000000000012
BoxWorld trl BoxWorld_taskable_task5-v1 run5 task1 150000 0.2 -27.022000000000006
BoxWorld trl BoxWorld_taskable_task5-v1 run5 task1 160000 0.12 -29.15
BoxWorld trl BoxWorld_taskable_task5-v1 run5 task1 170000 0.14 -27.24700000000001
BoxWorld trl BoxWorld_taskable_task5-v1 run5 task1 180000 0.04 -31.114
BoxWorld trl BoxWorld_taskable_task5-v1 run5 task1 190000 0.11 -27.615000000000013
BoxWorld trl BoxWorld_taskable_task5-v1 run5 task1 200000 0.11 -28.49
BoxWorld trl BoxWorld_taskable_task5-v1 run5 task1 210000 0.04 -30.87599999999999
BoxWorld trl BoxWorld_taskable_task5-v1 run5 task1 220000 0.03 -27.78600000000001
BoxWorld trl BoxWorld_taskable_task5-v1 run5 task1 230000 0.11 -26.536000000000012
BoxWorld trl BoxWorld_taskable_task5-v1 run5 task1 240000 0.06 -28.588999999999995
BoxWorld trl BoxWorld_taskable_task5-v1 run5 task1 250000 0.1 -28.134999999999994
BoxWorld trl BoxWorld_taskable_task5-v1 run5 task1 260000 0.06 -30.09399999999999
BoxWorld trl BoxWorld_taskable_task5-v1 run5 task1 270000 0.05 -27.140000000000004
BoxWorld trl BoxWorld_taskable_task5-v1 run5 task1 280000 0.11 -28.56000000000001
BoxWorld trl BoxWorld_taskable_task5-v1 run5 task1 290000 0.07 -28.787999999999997
BoxWorld trl BoxWorld_taskable_task5-v1 run5 task1 300000 0.07 -28.881999999999994
BoxWorld trl BoxWorld_taskable_task5-v1 run5 task1 310000 0.08 -30.669999999999977
BoxWorld trl BoxWorld_taskable_task5-v1 run5 task1 320000 0.08 -28.574999999999992
BoxWorld trl BoxWorld_taskable_task5-v1 run5 task1 330000 0.1 -26.298
BoxWorld trl BoxWorld_taskable_task5-v1 run5 task1 340000 0.13 -24.93299999999999
BoxWorld trl BoxWorld_taskable_task5-v1 run5 task1 350000 0.1 -26.93799999999999
BoxWorld trl BoxWorld_taskable_task5-v1 run5 task1 360000 0.06 -29.51499999999999
BoxWorld trl BoxWorld_taskable_task5-v1 run5 task1 370000 0.1 -28.08099999999998
BoxWorld trl BoxWorld_taskable_task5-v1 run5 task1 380000 0.07 -27.61599999999999
BoxWorld trl BoxWorld_taskable_task5-v1 run5 task1 390000 0.16 -25.56699999999999
BoxWorld trl BoxWorld_taskable_task5-v1 run5 task1 400000 0.14 -28.46299999999998
BoxWorld trl BoxWorld_taskable_task5-v1 run5 task1 410000 0.11 -26.145
BoxWorld trl BoxWorld_taskable_task5-v1 run5 task1 420000 0.15 -25.910999999999976
BoxWorld trl BoxWorld_taskable_task5-v1 run5 task1 430000 0.1 -26.21399999999999
BoxWorld trl BoxWorld_taskable_task5-v1 run5 task1 440000 0.07 -27.959999999999987
BoxWorld trl BoxWorld_taskable_task5-v1 run5 task1 450000 0.1 -28.23499999999998
BoxWorld trl BoxWorld_taskable_task5-v1 run5 task1 460000 0.14 -26.33199999999999
BoxWorld trl BoxWorld_taskable_task5-v1 run5 task1 470000 0.06 -27.49599999999999
