Domain Model env_id run task steps success_rate reward
BoxWorld trl BoxWorld_taskable_task5-v1 run1 task1 10000 0.09 -24.422000000000057
BoxWorld trl BoxWorld_taskable_task5-v1 run1 task1 20000 0.07 -26.02800000000004
BoxWorld trl BoxWorld_taskable_task5-v1 run1 task1 30000 0.05 -27.06300000000004
BoxWorld trl BoxWorld_taskable_task5-v1 run1 task1 40000 0.07 -27.793000000000035
BoxWorld trl BoxWorld_taskable_task5-v1 run1 task1 50000 0.06 -26.828000000000046
BoxWorld trl BoxWorld_taskable_task5-v1 run1 task1 60000 0.09 -27.81600000000004
BoxWorld trl BoxWorld_taskable_task5-v1 run1 task1 70000 0.07 -28.44100000000004
BoxWorld trl BoxWorld_taskable_task5-v1 run1 task1 80000 0.13 -26.208000000000048
BoxWorld trl BoxWorld_taskable_task5-v1 run1 task1 90000 0.15 -26.128000000000043
BoxWorld trl BoxWorld_taskable_task5-v1 run1 task1 100000 0.14 -25.748000000000037
BoxWorld trl BoxWorld_taskable_task5-v1 run1 task1 110000 0.12 -29.243000000000023
BoxWorld trl BoxWorld_taskable_task5-v1 run1 task1 120000 0.1 -27.371000000000027
BoxWorld trl BoxWorld_taskable_task5-v1 run1 task1 130000 0.03 -25.979000000000045
BoxWorld trl BoxWorld_taskable_task5-v1 run1 task1 140000 0.07 -26.659000000000034
BoxWorld trl BoxWorld_taskable_task5-v1 run1 task1 150000 0.1 -24.87100000000004
BoxWorld trl BoxWorld_taskable_task5-v1 run1 task1 160000 0.11 -27.369000000000025
BoxWorld trl BoxWorld_taskable_task5-v1 run1 task1 170000 0.13 -24.188000000000024
BoxWorld trl BoxWorld_taskable_task5-v1 run1 task1 180000 0.14 -25.313000000000024
BoxWorld trl BoxWorld_taskable_task5-v1 run1 task1 190000 0.08 -27.853000000000016
BoxWorld trl BoxWorld_taskable_task5-v1 run1 task1 200000 0.1 -27.300000000000004
BoxWorld trl BoxWorld_taskable_task5-v1 run1 task1 210000 0.05 -26.710000000000022
BoxWorld trl BoxWorld_taskable_task5-v1 run1 task1 220000 0.07 -28.568999999999992
BoxWorld trl BoxWorld_taskable_task5-v1 run1 task1 230000 0.08 -26.464000000000013
BoxWorld trl BoxWorld_taskable_task5-v1 run1 task1 240000 0.09 -26.31500000000002
BoxWorld trl BoxWorld_taskable_task5-v1 run1 task1 250000 0.08 -27.25300000000001
BoxWorld trl BoxWorld_taskable_task5-v1 run1 task1 260000 0.08 -27.159000000000013
BoxWorld trl BoxWorld_taskable_task5-v1 run1 task1 270000 0.1 -24.74800000000001
BoxWorld trl BoxWorld_taskable_task5-v1 run1 task1 280000 0.09 -27.36900000000001
BoxWorld trl BoxWorld_taskable_task5-v1 run1 task1 290000 0.1 -26.473000000000006
BoxWorld trl BoxWorld_taskable_task5-v1 run1 task1 300000 0.05 -27.807000000000002
BoxWorld trl BoxWorld_taskable_task5-v1 run1 task1 310000 0.08 -25.668000000000017
BoxWorld trl BoxWorld_taskable_task5-v1 run1 task1 320000 0.14 -27.201
BoxWorld trl BoxWorld_taskable_task5-v1 run1 task1 330000 0.09 -27.041999999999998
BoxWorld trl BoxWorld_taskable_task5-v1 run1 task1 340000 0.1 -27.002
BoxWorld trl BoxWorld_taskable_task5-v1 run1 task1 350000 0.07 -25.569000000000006
BoxWorld trl BoxWorld_taskable_task5-v1 run1 task1 360000 0.07 -27.873999999999988
BoxWorld trl BoxWorld_taskable_task5-v1 run1 task1 370000 0.07 -27.41
BoxWorld trl BoxWorld_taskable_task5-v1 run1 task1 380000 0.09 -26.007999999999996
BoxWorld trl BoxWorld_taskable_task5-v1 run1 task1 390000 0.08 -25.548
BoxWorld trl BoxWorld_taskable_task5-v1 run1 task1 400000 0.1 -27.547999999999984
BoxWorld trl BoxWorld_taskable_task5-v1 run1 task1 410000 0.07 -27.026999999999994
BoxWorld trl BoxWorld_taskable_task5-v1 run1 task1 420000 0.08 -24.997000000000007
BoxWorld trl BoxWorld_taskable_task5-v1 run1 task1 430000 0.07 -25.069000000000006
BoxWorld trl BoxWorld_taskable_task5-v1 run1 task1 440000 0.1 -26.118
BoxWorld trl BoxWorld_taskable_task5-v1 run1 task1 450000 0.06 -30.714999999999968
BoxWorld trl BoxWorld_taskable_task5-v1 run1 task1 460000 0.05 -27.98799999999999
BoxWorld trl BoxWorld_taskable_task5-v1 run1 task1 470000 0.15 -23.252999999999993
BoxWorld trl BoxWorld_taskable_task5-v1 run1 task1 480000 0.06 -28.74999999999997
BoxWorld trl BoxWorld_taskable_task5-v1 run1 task1 490000 0.07 -26.08299999999999
BoxWorld trl BoxWorld_taskable_task5-v1 run1 task1 500000 0.12 -27.62999999999998
BoxWorld trl BoxWorld_taskable_task5-v1 run1 task1 510000 0.07 -26.39599999999999
BoxWorld trl BoxWorld_taskable_task5-v1 run1 task1 520000 0.05 -25.822999999999993
BoxWorld trl BoxWorld_taskable_task5-v1 run1 task1 530000 0.05 -29.832999999999966
BoxWorld trl BoxWorld_taskable_task5-v1 run1 task1 540000 0.06 -26.83599999999998
BoxWorld trl BoxWorld_taskable_task5-v1 run1 task1 550000 0.07 -26.495999999999984
BoxWorld trl BoxWorld_taskable_task5-v1 run1 task1 560000 0.05 -28.616999999999976
BoxWorld trl BoxWorld_taskable_task5-v1 run1 task1 570000 0.11 -26.448999999999973
