Domain Model env_id run task steps success_rate reward
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run1 task1 10000 0.27 -28.277999999999967
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run1 task1 20000 0.06 -35.934999999999924
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run1 task1 30000 0.13 -27.096999999999962
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run1 task1 40000 0.36 -25.086999999999946
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run1 task1 50000 0.32 -22.278999999999968
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run1 task1 60000 0.56 -12.425999999999977
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run1 task1 70000 0.35 -26.36499999999993
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run1 task1 80000 0.3 -18.55599999999998
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run1 task1 90000 0.41 -23.76999999999994
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run1 task1 100000 0.47 -14.93199999999998
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run1 task1 110000 0.72 -6.873999999999996
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run1 task1 120000 0.78 -4.686999999999996
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run1 task1 130000 0.73 -7.37699999999999
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run1 task1 140000 0.87 -1.6870000000000003
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run1 task1 150000 0.83 -3.1199999999999983
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run1 task1 160000 0.85 -3.0609999999999964
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run1 task1 170000 0.81 -4.393999999999995
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run1 task1 180000 0.88 -2.322999999999996
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run1 task1 190000 0.87 -2.933999999999993
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run1 task1 200000 0.8 -4.543999999999995
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run1 task1 210000 0.82 -3.172999999999999
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run1 task1 220000 0.91 -1.0360000000000011
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run1 task1 230000 0.85 -4.13399999999999
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run1 task1 240000 0.87 -2.545999999999996
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run1 task1 250000 0.82 -3.6249999999999973
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run1 task1 260000 0.87 -2.589999999999996
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run1 task1 270000 0.86 -3.179999999999995
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run1 task1 280000 0.85 -2.646999999999998
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run1 task1 290000 0.81 -5.445999999999986
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run1 task1 300000 0.81 -3.832999999999996
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run1 task1 310000 0.82 -3.936999999999994
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run1 task1 320000 0.83 -3.415999999999997
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run1 task1 330000 0.87 -2.0429999999999984
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run1 task1 340000 0.84 -4.349999999999989
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run1 task1 350000 0.91 -1.233999999999997
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run1 task1 360000 0.87 -2.4819999999999958
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run1 task1 370000 0.83 -3.968999999999994
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run1 task1 380000 0.78 -5.69599999999999
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run1 task1 390000 0.87 -3.3739999999999912
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run1 task1 400000 0.78 -4.684999999999998
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run1 task1 410000 0.87 -2.1069999999999975
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run1 task1 420000 0.87 -2.5589999999999957
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run1 task1 430000 0.81 -5.368999999999987
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run1 task1 440000 0.82 -4.019999999999994
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run1 task1 450000 0.84 -3.592999999999993
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run1 task1 460000 0.89 -1.3519999999999999
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run1 task1 470000 0.88 -1.6049999999999998
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run1 task1 480000 0.86 -3.1209999999999933
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run1 task1 490000 0.85 -3.3039999999999936
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run1 task1 500000 0.85 -3.0579999999999963
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run1 task1 510000 0.81 -4.565999999999992
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run1 task1 520000 0.86 -1.925
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run1 task1 530000 0.83 -4.940999999999987
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run1 task1 540000 0.86 -3.718999999999992
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run1 task1 550000 0.88 -1.4719999999999995
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run1 task1 560000 0.9 -1.4649999999999974
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run1 task1 570000 0.83 -3.9959999999999947
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run1 task1 580000 0.82 -3.437999999999999
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run1 task1 590000 0.85 -2.6099999999999977
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run1 task1 600000 0.84 -2.3339999999999996
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run1 task1 610000 0.89 -1.3159999999999998
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run1 task1 620000 0.85 -2.9619999999999957
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run1 task1 630000 0.85 -2.155
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run1 task1 640000 0.89 -1.9609999999999954
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run1 task1 650000 0.86 -2.0180000000000002
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run1 task1 660000 0.82 -3.658999999999996
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run1 task1 670000 0.79 -4.876999999999995
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run1 task1 680000 0.81 -4.222999999999994
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run1 task1 690000 0.88 -1.8629999999999973
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run1 task1 700000 0.85 -3.1989999999999945
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run1 task1 710000 0.85 -2.9769999999999963
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run1 task1 720000 0.87 -2.571999999999997
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run1 task1 730000 0.91 -1.214999999999997
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run1 task1 740000 0.86 -3.110999999999994
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run1 task1 750000 0.8 -3.2300000000000013
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run1 task1 760000 0.91 -0.8579999999999991
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run1 task1 770000 0.84 -2.751999999999998
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run1 task1 780000 0.86 -1.9860000000000002
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run1 task1 790000 0.85 -2.8879999999999955
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run1 task1 800000 0.83 -3.0069999999999983
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run1 task1 810000 0.82 -3.1919999999999984
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run1 task1 820000 0.85 -2.171
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run1 task1 830000 0.86 -2.356999999999998
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run1 task1 840000 0.88 -1.9089999999999971
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run1 task1 850000 0.88 -1.1430000000000016
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run1 task1 860000 0.87 -1.7799999999999994
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run1 task1 870000 0.79 -5.071999999999993
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run1 task1 880000 0.88 -1.5379999999999996
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run1 task1 890000 0.84 -3.4869999999999934
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run1 task1 900000 0.84 -2.422999999999999
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run1 task1 910000 0.85 -2.886999999999995
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run1 task1 920000 0.83 -4.67099999999999
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run1 task1 930000 0.86 -2.381999999999998
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run1 task1 940000 0.87 -2.1509999999999976
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run1 task1 950000 0.87 -2.4299999999999953
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run1 task1 960000 0.83 -3.7739999999999934
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run1 task1 970000 0.87 -1.6549999999999991
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run1 task1 980000 0.91 -1.6479999999999948
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run1 task1 990000 0.82 -3.2439999999999984
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run1 task1 1000000 0.84 -3.1839999999999957
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run1 task1 1010000 0.87 -2.5509999999999953
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run1 task1 1020000 0.92 -0.6269999999999991
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run1 task1 1030000 0.87 -1.6419999999999997
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run1 task1 1040000 0.84 -2.7169999999999974
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run1 task1 1050000 0.87 -1.6679999999999995
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run1 task1 1060000 0.89 -0.8830000000000017
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run1 task1 1070000 0.88 -1.0690000000000015
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run1 task1 1080000 0.88 -2.668999999999993
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run1 task1 1090000 0.82 -2.918000000000003
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run1 task1 1100000 0.9 -1.4279999999999973
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run1 task1 1110000 0.87 -2.115999999999998
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run1 task1 1120000 0.79 -4.688999999999995
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run1 task1 1130000 0.84 -3.115999999999996
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run1 task1 1140000 0.88 -2.304999999999996
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run1 task1 1150000 0.82 -4.82599999999999
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run1 task1 1160000 0.84 -1.9510000000000018
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run1 task1 1170000 0.83 -2.148000000000003
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run1 task1 1180000 0.78 -4.8639999999999946
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run1 task1 1190000 0.85 -2.055
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run1 task1 1200000 0.88 -1.4579999999999997
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run1 task1 1210000 0.84 -3.5269999999999935
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run1 task1 1220000 0.91 -1.2599999999999973
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run1 task1 1230000 0.87 -1.5939999999999999
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run1 task1 1240000 0.82 -2.653000000000004
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run1 task1 1250000 0.83 -2.5810000000000013
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run1 task1 1260000 0.87 -1.7379999999999995
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run1 task1 1270000 0.88 -1.553
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run1 task1 1280000 0.86 -2.710999999999995
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run1 task1 1290000 0.85 -2.204
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run1 task1 1300000 0.84 -3.5089999999999937
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run1 task1 1310000 0.89 -1.320999999999999
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run1 task1 1320000 0.89 -0.9340000000000019
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run1 task1 1330000 0.94 -0.5509999999999966
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run1 task1 1340000 0.87 -2.936999999999993
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run1 task1 1350000 0.91 -0.37200000000000144
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run1 task1 1360000 0.92 -0.9789999999999967
